_id,userId,accountId,amount,currency,type,category,description,occuredAt
"{""$oid"": ""b62909f6163055d9885f3d76""}","{""$oid"": ""9c7c3e050403c718d9a6591d""}","{""$oid"": ""521e6624a467502340b5d097""}",4897.1,EUR,expense,Transfer,Para transferi,"{""$date"": ""2025-11-01T20:13:08.014000Z""}"
"{""$oid"": ""c1862dde9351d35921f041b2""}","{""$oid"": ""1ba7ae457b29aae842ff0ca7""}","{""$oid"": ""3aa60a83b255e43568be9aa2""}",4816.94,EUR,expense,Market,Migros,"{""$date"": ""2025-11-13T22:27:08.014000Z""}"
"{""$oid"": ""93cec2036baa60f10595d84d""}","{""$oid"": ""8f5da17351d8853d1771b5e2""}","{""$oid"": ""73c55fca59e8642725e07404""}",4909.85,USD,expense,Diğer,Bağış,"{""$date"": ""2025-12-07T08:13:08.014000Z""}"
"{""$oid"": ""374d27aeb1e8e4d9c81110a1""}","{""$oid"": ""c95629cdf40439c41dcabb61""}","{""$oid"": ""c26dd1001fcd63d202333faa""}",3242.45,TRY,income,Maaş,Bonus,"{""$date"": ""2025-11-07T16:36:08.014000Z""}"
"{""$oid"": ""14f1873ca9e5e807164a357e""}","{""$oid"": ""0de88e6b73a2331c15626204""}","{""$oid"": ""197258d1d8c4aec68571342b""}",1670.57,USD,expense,Market,A101,"{""$date"": ""2025-12-18T04:37:08.014000Z""}"
"{""$oid"": ""ec0372efda6dabcabb15ea3d""}","{""$oid"": ""4616aec9f7ecbc06edf6de29""}","{""$oid"": ""55710f8d435ea21f588d1711""}",1493.37,TRY,expense,Ulaşım,Otobüs,"{""$date"": ""2025-12-16T03:13:08.014000Z""}"
"{""$oid"": ""3b9769c2a259a13f642001c2""}","{""$oid"": ""a8b1bb53d1127dbe883b454e""}","{""$oid"": ""d76bd2a0989ea8ec9b172f46""}",3993.18,TRY,expense,Eğlence,Spotify,"{""$date"": ""2025-11-19T22:12:08.014000Z""}"
"{""$oid"": ""ac25d925cd4273edd62bbd6e""}","{""$oid"": ""8c75f1f30425b45cfe7286a7""}","{""$oid"": ""b69744b1fd0082ee3bfeca3a""}",308.25,USD,expense,Yemek,GetirYemek,"{""$date"": ""2025-12-03T14:28:08.014000Z""}"
"{""$oid"": ""e85b4b8a02a25ce859b6b28b""}","{""$oid"": ""dbf39b26b3ee2f6e93300762""}","{""$oid"": ""ab73c81a9a079913f5942f1a""}",4194.73,TRY,expense,Eğlence,Spotify,"{""$date"": ""2025-11-29T18:15:08.014000Z""}"
"{""$oid"": ""d06d84e751d9b4131e2ee08f""}","{""$oid"": ""565d70edfb389535c545b073""}","{""$oid"": ""fd35072c30675586323033c0""}",4951.99,TRY,expense,Faturalar,Aidat,"{""$date"": ""2025-11-01T09:48:08.014000Z""}"
"{""$oid"": ""5b0395ead8014e0167bceaa2""}","{""$oid"": ""c10c92fdb21a4596eaaf15db""}","{""$oid"": ""125319753b85bcf7923d98c4""}",698.93,TRY,expense,Diğer,Bağış,"{""$date"": ""2025-12-13T17:48:08.014000Z""}"
"{""$oid"": ""ccfc116cffb2f468158dc677""}","{""$oid"": ""da891b81d22c5a7f735b9de1""}","{""$oid"": ""45150464d9fb67c74c9fb2d8""}",675.73,USD,expense,Ulaşım,Uber,"{""$date"": ""2025-12-06T17:13:08.014000Z""}"
"{""$oid"": ""3431bbccd3238431fbee29bf""}","{""$oid"": ""4e615750e88a7055219dc83a""}","{""$oid"": ""b8ac40ba0daceb8d88d83b26""}",3895.01,TRY,expense,Sağlık,Muayene,"{""$date"": ""2025-12-15T22:18:08.014000Z""}"
"{""$oid"": ""1bfd3abe47d7fcd1dcd5e470""}","{""$oid"": ""5487903badb338b54a9701df""}","{""$oid"": ""460248031e9c6e608755150a""}",2408.72,EUR,expense,Sağlık,Muayene,"{""$date"": ""2025-12-03T16:42:08.014000Z""}"
"{""$oid"": ""167fad8b166f67741e58ae50""}","{""$oid"": ""ec602447306444bfd4ea9bc3""}","{""$oid"": ""ada066e2148ffeea832fa099""}",4214.8,TRY,expense,Ulaşım,Metro,"{""$date"": ""2025-12-18T05:04:08.014000Z""}"
"{""$oid"": ""b88aac3b36533840fad2a449""}","{""$oid"": ""ec42c3b2f1af27aeacaf87c6""}","{""$oid"": ""49690055a8d409d55e91ffef""}",1501.06,USD,income,Maaş,Maaş ödemesi,"{""$date"": ""2025-11-23T13:41:08.014000Z""}"
"{""$oid"": ""bf4e32995b6d58ffaaf779e5""}","{""$oid"": ""7eae0c70172c2315c2005dff""}","{""$oid"": ""77ded2e0ab5b7ce3788cd3eb""}",1024.19,TRY,expense,Alışveriş,LC Waikiki,"{""$date"": ""2025-11-30T15:59:08.014000Z""}"
"{""$oid"": ""e690a5f16ccc51f9d9719656""}","{""$oid"": ""5487903badb338b54a9701df""}","{""$oid"": ""460248031e9c6e608755150a""}",4693.07,EUR,income,Transfer,Para transferi,"{""$date"": ""2025-11-09T07:43:08.014000Z""}"
"{""$oid"": ""b06f77ebd9a1fd69e1163d14""}","{""$oid"": ""aec13f4ac750915b4bbf8ecf""}","{""$oid"": ""6e5527a43f7951970f5a73e5""}",4515.04,USD,expense,Sağlık,Laboratuvar,"{""$date"": ""2025-12-24T12:35:08.014000Z""}"
"{""$oid"": ""204858b5f5f042064f89a358""}","{""$oid"": ""045228d11d74c6f92bebd85a""}","{""$oid"": ""b998b6013d649ac51a202a1f""}",4530.9,USD,expense,Ulaşım,HGS/OGS,"{""$date"": ""2025-10-31T18:52:08.014000Z""}"
"{""$oid"": ""4486af46ef6602fcbb6c1c01""}","{""$oid"": ""565d70edfb389535c545b073""}","{""$oid"": ""90533974bd6b6bb2666de51c""}",2683.66,EUR,expense,Ulaşım,HGS/OGS,"{""$date"": ""2025-12-18T08:30:08.014000Z""}"
"{""$oid"": ""ebf7deb01a18faf30214e75f""}","{""$oid"": ""d82fca2682b433fd6e792592""}","{""$oid"": ""9da09644e1f9494e281562af""}",2113.36,TRY,expense,Market,Migros,"{""$date"": ""2025-12-12T09:51:08.014000Z""}"
"{""$oid"": ""9930a886153d5465bb6b6c55""}","{""$oid"": ""e19f2674dc98cbf1faca8486""}","{""$oid"": ""6c8e3fcf4cfd6bfdd6f0f378""}",1835.6,TRY,expense,Faturalar,İnternet faturası,"{""$date"": ""2025-11-02T08:02:08.014000Z""}"
"{""$oid"": ""6a6c79216c01e2ba438d6dd7""}","{""$oid"": ""06eb6c35cd67adbd55693116""}","{""$oid"": ""56340605d209737c6f67d99f""}",3737.95,TRY,expense,Faturalar,Elektrik faturası,"{""$date"": ""2025-11-17T01:37:08.014000Z""}"
"{""$oid"": ""6ecb77b39648d46adbda0fb2""}","{""$oid"": ""2ae21608990ca8725e23830a""}","{""$oid"": ""5da072318735ed9b21099246""}",4434.18,TRY,expense,Ulaşım,Metro,"{""$date"": ""2025-11-28T14:45:08.014000Z""}"
"{""$oid"": ""916cba376d10f40e0b184a16""}","{""$oid"": ""ec602447306444bfd4ea9bc3""}","{""$oid"": ""ada066e2148ffeea832fa099""}",3632.12,TRY,expense,Faturalar,Aidat,"{""$date"": ""2025-11-10T09:10:08.014000Z""}"
"{""$oid"": ""36ee2fd7a9b4bf440ec46f5b""}","{""$oid"": ""dfd05de1212b9b197a954d73""}","{""$oid"": ""ae4898d3064a343979ea99a3""}",2555.52,USD,expense,Transfer,Para transferi,"{""$date"": ""2025-10-30T16:04:08.014000Z""}"
"{""$oid"": ""f9de3ab394c82bd3eac9df48""}","{""$oid"": ""0c916301de2484846800c3b5""}","{""$oid"": ""74ae9456c269e940604d7dfd""}",2098.02,USD,expense,Diğer,Diğer harcama,"{""$date"": ""2025-11-25T17:49:08.014000Z""}"
"{""$oid"": ""d441ff4f0d1b7cfc3113b433""}","{""$oid"": ""6db1f78decd18d325a6fcf19""}","{""$oid"": ""4bf9077ff96a57395ed8847c""}",4369.72,USD,expense,Diğer,Diğer harcama,"{""$date"": ""2025-11-08T16:22:08.014000Z""}"
"{""$oid"": ""bf71a65a7e0b76f104fca02b""}","{""$oid"": ""d82fca2682b433fd6e792592""}","{""$oid"": ""9da09644e1f9494e281562af""}",134.69,TRY,income,Transfer,Para transferi,"{""$date"": ""2025-11-20T03:32:08.014000Z""}"
"{""$oid"": ""fdcc10843bd8811737ab98df""}","{""$oid"": ""017bf2ae3f0404cf29ccf048""}","{""$oid"": ""0abfd5baae8c3720c9dad693""}",2210.07,TRY,expense,Market,Şok,"{""$date"": ""2025-11-26T05:25:08.014000Z""}"
"{""$oid"": ""5357e44e0fc8a0dd0559c66e""}","{""$oid"": ""44fde454fb7a712f19f94b83""}","{""$oid"": ""bd6452661fe9a5bf6563bffd""}",2737.85,TRY,expense,Market,Şok,"{""$date"": ""2025-11-10T14:11:08.014000Z""}"
"{""$oid"": ""9ebfde5d93d6629aea99af11""}","{""$oid"": ""54ea48d9d90b4f8133c7949b""}","{""$oid"": ""a52a8f0a545c9205c3aeeabb""}",682.39,EUR,expense,Ulaşım,HGS/OGS,"{""$date"": ""2025-12-22T21:34:08.014000Z""}"
"{""$oid"": ""ce312bee5469976c3c114618""}","{""$oid"": ""f937afb03d65bf479e3314e9""}","{""$oid"": ""c28c042343a9bc955a7434b5""}",4752.38,EUR,expense,Ulaşım,Taksi,"{""$date"": ""2025-12-01T01:19:08.014000Z""}"
"{""$oid"": ""87e620dfb545fe84a7bd1c8d""}","{""$oid"": ""abe69d5a80573274e709e96f""}","{""$oid"": ""10e9a24a19dd5adc3d775aec""}",4404.78,EUR,income,Transfer,Para transferi,"{""$date"": ""2025-12-21T07:06:08.014000Z""}"
"{""$oid"": ""3d2dcefa9099a5486a3bd66d""}","{""$oid"": ""03417abafb31686758ac3c6c""}","{""$oid"": ""543a3c73ecb57189fc2d938e""}",4647.96,EUR,expense,Yemek,Restoran,"{""$date"": ""2025-12-15T08:57:08.014000Z""}"
"{""$oid"": ""2472ca48078308680a77a572""}","{""$oid"": ""a1ca60b4bf21944db35e52b1""}","{""$oid"": ""79c6b47a3886e2b84618da2e""}",3014.54,TRY,income,Maaş,Prim,"{""$date"": ""2025-10-31T17:35:08.014000Z""}"
"{""$oid"": ""3c19e6f4bc28f79a9d79d5d2""}","{""$oid"": ""66d27677c70e1a4d43cebd5d""}","{""$oid"": ""e2e6cb7e3171b272e04da9f2""}",4677.97,TRY,expense,Diğer,Hediye,"{""$date"": ""2025-12-18T19:22:08.014000Z""}"
"{""$oid"": ""a2db721f626bf9d860e888ba""}","{""$oid"": ""0d15054f3b4af699b1c0603c""}","{""$oid"": ""e3e500ddd65d45d78bfa4404""}",2448.41,USD,expense,Yemek,Paket servis,"{""$date"": ""2025-11-20T11:29:08.014000Z""}"
"{""$oid"": ""63f2830d3d0247e85333145e""}","{""$oid"": ""eba447c97c67a0c900cbd378""}","{""$oid"": ""2dd4d141e40544c5e9258967""}",4711.35,USD,expense,Diğer,Nakit çekim,"{""$date"": ""2025-11-27T19:28:08.014000Z""}"
"{""$oid"": ""7666f0bdb6b678c7ca9c8691""}","{""$oid"": ""300cf83dccc36cffd6f5c54d""}","{""$oid"": ""f97a4ffc1d1292ba982f23ac""}",2021.79,EUR,expense,Alışveriş,H&M,"{""$date"": ""2025-12-15T20:26:08.014000Z""}"
"{""$oid"": ""4bd025e86e8798bfd24040a9""}","{""$oid"": ""7eae0c70172c2315c2005dff""}","{""$oid"": ""77ded2e0ab5b7ce3788cd3eb""}",4897.13,TRY,expense,Ulaşım,HGS/OGS,"{""$date"": ""2025-12-17T19:05:08.014000Z""}"
"{""$oid"": ""1be1cde6efc002b49eda744a""}","{""$oid"": ""5e2eb3b69878b03354f82960""}","{""$oid"": ""da773948a2c4486d48c6b39b""}",3449.94,TRY,expense,Diğer,Bağış,"{""$date"": ""2025-12-21T10:13:08.014000Z""}"
"{""$oid"": ""fb02244f94eb0e04427d3ccc""}","{""$oid"": ""1ac8e9af6c435b630db51495""}","{""$oid"": ""0da9d5b3f54b62a58aae1f33""}",4798.06,TRY,expense,Faturalar,Elektrik faturası,"{""$date"": ""2025-11-17T10:08:08.014000Z""}"
"{""$oid"": ""ca400a0aae258d0bc3db5d85""}","{""$oid"": ""bc6d892adab9bf09fc155ce9""}","{""$oid"": ""335395fcf274d5947fd3265a""}",1959.18,TRY,expense,Ulaşım,HGS/OGS,"{""$date"": ""2025-11-26T11:09:08.014000Z""}"
"{""$oid"": ""6435ef1361e2067e9639dbf1""}","{""$oid"": ""54ea48d9d90b4f8133c7949b""}","{""$oid"": ""a52a8f0a545c9205c3aeeabb""}",598.44,EUR,income,Transfer,Para transferi,"{""$date"": ""2025-12-14T19:21:08.014000Z""}"
"{""$oid"": ""b1f222278cb14e0a3a7dd82d""}","{""$oid"": ""3e1e1fa13b5adfb3a41bce2a""}","{""$oid"": ""2a8cc0066c0f8fb5a8b011ab""}",4067.87,EUR,expense,Yemek,Yemeksepeti,"{""$date"": ""2025-11-23T19:46:08.014000Z""}"
"{""$oid"": ""2bc97373c0253ce52cf1ac18""}","{""$oid"": ""c95629cdf40439c41dcabb61""}","{""$oid"": ""c26dd1001fcd63d202333faa""}",280.78,TRY,expense,Market,Migros,"{""$date"": ""2025-12-12T18:12:08.014000Z""}"
"{""$oid"": ""3be1f12388d14965b4a56aad""}","{""$oid"": ""568d140201adfd7036cc63f8""}","{""$oid"": ""8e8edb644a27b34f8bbdf00d""}",3247.24,TRY,expense,Sağlık,Hastane,"{""$date"": ""2025-12-03T12:11:08.014000Z""}"
"{""$oid"": ""d4a54e1ea04be8bd3c88e941""}","{""$oid"": ""7eae0c70172c2315c2005dff""}","{""$oid"": ""77ded2e0ab5b7ce3788cd3eb""}",1416.95,TRY,expense,Faturalar,Aidat,"{""$date"": ""2025-12-09T02:32:08.014000Z""}"
"{""$oid"": ""1bc2895d7e2d231d80dbd64a""}","{""$oid"": ""8f5da17351d8853d1771b5e2""}","{""$oid"": ""73c55fca59e8642725e07404""}",519.93,USD,expense,Diğer,Komisyon,"{""$date"": ""2025-12-12T07:28:08.014000Z""}"
"{""$oid"": ""ff55ff86a2fcc8a72a94c9ad""}","{""$oid"": ""db550a334fa5528649913437""}","{""$oid"": ""519a6f30e90f44c1c7309a99""}",957.5,EUR,expense,Eğlence,Netflix,"{""$date"": ""2025-10-27T09:28:08.014000Z""}"
"{""$oid"": ""f940078e86be0134b95511d8""}","{""$oid"": ""f6d20dd0efa47a2a046496ec""}","{""$oid"": ""f6e9b4e1260ff638b56f173e""}",4433.27,TRY,income,Maaş,Prim,"{""$date"": ""2025-11-16T13:17:08.014000Z""}"
"{""$oid"": ""31407e4f2b37e28c9a974a67""}","{""$oid"": ""5e2eb3b69878b03354f82960""}","{""$oid"": ""da773948a2c4486d48c6b39b""}",3636.1,TRY,expense,Ulaşım,HGS/OGS,"{""$date"": ""2025-11-28T05:04:08.014000Z""}"
"{""$oid"": ""be57a73d9e91b87ee71e7875""}","{""$oid"": ""73e9c64243699b021d9db9f2""}","{""$oid"": ""a7435ffb6094d8f24ab21b04""}",4594.75,TRY,income,Transfer,Para transferi,"{""$date"": ""2025-11-15T07:24:08.014000Z""}"
"{""$oid"": ""7e641095aebc8350370e7fca""}","{""$oid"": ""9fdeb1d45b64f41dec28a914""}","{""$oid"": ""60e8977c1bc24ee97367be41""}",2658.08,USD,expense,Diğer,Diğer harcama,"{""$date"": ""2025-11-29T16:01:08.014000Z""}"
"{""$oid"": ""5e3045b2d9bbf193cef8f5f2""}","{""$oid"": ""87f1f5f040df74ed242c47c6""}","{""$oid"": ""ee39865f1ff126ae34d68bf2""}",1132.6,TRY,expense,Yemek,Kafe,"{""$date"": ""2025-12-25T00:00:08.014000Z""}"
"{""$oid"": ""660a523f0bb1ed9e9bc8f961""}","{""$oid"": ""6a63393c79bdced36d747c70""}","{""$oid"": ""c83ded3cb6e42e68f4ce8083""}",1084.63,TRY,expense,Yemek,Yemeksepeti,"{""$date"": ""2025-11-06T00:11:08.014000Z""}"
"{""$oid"": ""04520668a261e710b4a69665""}","{""$oid"": ""4380c301f0efee07b9faf0e7""}","{""$oid"": ""055ecf6990643d5897387b6b""}",3161.07,EUR,income,Maaş,Maaş ödemesi,"{""$date"": ""2025-11-04T06:18:08.014000Z""}"
"{""$oid"": ""267dfd2f4a3b8049f799f77d""}","{""$oid"": ""560b1e0c63b828d56be6856d""}","{""$oid"": ""5bd83a1ba2420ec3f2225fc7""}",350.77,TRY,expense,Yemek,GetirYemek,"{""$date"": ""2025-12-21T09:07:08.014000Z""}"
"{""$oid"": ""c933769594f0a495d77ef437""}","{""$oid"": ""dbcc16c8aebb46ce119b7e3f""}","{""$oid"": ""3f0f95f38bb4f6e193a8a94c""}",1643.64,USD,income,Maaş,Ek gelir,"{""$date"": ""2025-10-28T20:25:08.014000Z""}"
"{""$oid"": ""fb6d44604c3fc1c0c1bbc449""}","{""$oid"": ""8ba3d9e8c4722bbb555cd833""}","{""$oid"": ""b1e355a8d143ddbac59bfdf8""}",533.59,EUR,expense,Ulaşım,Otobüs,"{""$date"": ""2025-11-07T01:02:08.014000Z""}"
"{""$oid"": ""e9be314fd9c13c6cebad1a37""}","{""$oid"": ""ef536d38ded46204361b8247""}","{""$oid"": ""94d215bd8d16818f13636c6e""}",605.45,USD,expense,Yemek,Fast food,"{""$date"": ""2025-11-22T23:38:08.014000Z""}"
"{""$oid"": ""2e5d30847355a82cb26d0ffc""}","{""$oid"": ""a3d713a7af305efccf312c58""}","{""$oid"": ""f45c2518895e161738b14344""}",2835.6,USD,expense,Yemek,Market yemeği,"{""$date"": ""2025-11-19T06:20:08.014000Z""}"
"{""$oid"": ""30029e1c83321d3eac37eed2""}","{""$oid"": ""0653acfb0d2ee097b0936d74""}","{""$oid"": ""bde17535b470197ac99c5719""}",3899.0,EUR,expense,Diğer,Bağış,"{""$date"": ""2025-12-09T20:08:08.014000Z""}"
"{""$oid"": ""4b739cdb7d365d6acb0f169b""}","{""$oid"": ""9ac19681c61f40aaa63d8082""}","{""$oid"": ""4411cb2acd6ffb54784aef37""}",1067.45,USD,expense,Alışveriş,Amazon,"{""$date"": ""2025-11-28T14:12:08.014000Z""}"
"{""$oid"": ""5f85d994e3df7db1d3d9206d""}","{""$oid"": ""3bd85de641b4e96265d22b4c""}","{""$oid"": ""9859831fea827c2cb68858a6""}",3548.54,TRY,expense,Diğer,Hediye,"{""$date"": ""2025-11-12T23:01:08.014000Z""}"
"{""$oid"": ""0750da2cef01404bedbb751d""}","{""$oid"": ""1634b873b666ccf9ec4b00d0""}","{""$oid"": ""5058b8dd7fe394a41c5364b0""}",246.91,TRY,expense,Alışveriş,Decathlon,"{""$date"": ""2025-10-31T15:51:08.014000Z""}"
"{""$oid"": ""ef0a9355c44ef0402aef0788""}","{""$oid"": ""34a25da675ae4786278a5c6f""}","{""$oid"": ""a38d5385e28a95a6f2ff756f""}",1528.55,TRY,expense,Transfer,Para transferi,"{""$date"": ""2025-12-05T17:35:08.014000Z""}"
"{""$oid"": ""4f351f2174adfca39be6a5b0""}","{""$oid"": ""398e689cc43790882a89f06e""}","{""$oid"": ""4c7e5cb6c386939d38cd5a28""}",3856.6,USD,expense,Market,BİM,"{""$date"": ""2025-12-23T13:27:08.014000Z""}"
"{""$oid"": ""8f2d80e048c916202bd97947""}","{""$oid"": ""4e615750e88a7055219dc83a""}","{""$oid"": ""b8ac40ba0daceb8d88d83b26""}",3437.77,TRY,expense,Sağlık,Özel sağlık sigortası,"{""$date"": ""2025-12-21T05:10:08.014000Z""}"
"{""$oid"": ""4e638500f2224227bfd46fd5""}","{""$oid"": ""065ce6d0d2711a41278cdf6b""}","{""$oid"": ""e3e551fe20ae9986244636bc""}",3879.4,EUR,income,Transfer,Para transferi,"{""$date"": ""2025-12-05T13:44:08.014000Z""}"
"{""$oid"": ""1befda11bace0b16d69786f1""}","{""$oid"": ""8aa3c914a0b94a47b2f65103""}","{""$oid"": ""bc59eb85cc25d59a78771f45""}",1148.81,USD,income,Maaş,Ek gelir,"{""$date"": ""2025-12-15T03:54:08.014000Z""}"
"{""$oid"": ""37deac65293dc4327377a095""}","{""$oid"": ""a7ebc6ea57cbdd1e94491cf0""}","{""$oid"": ""335eddd5b2162919636ccd16""}",1505.95,EUR,expense,Sağlık,Eczane,"{""$date"": ""2025-11-11T12:41:08.014000Z""}"
"{""$oid"": ""63fdfd8fd2563ce3605c7ce1""}","{""$oid"": ""90b84a284efdf5f361bb5f00""}","{""$oid"": ""d473ca41e1586ca95946062f""}",4143.15,USD,expense,Diğer,Komisyon,"{""$date"": ""2025-12-21T06:53:08.014000Z""}"
"{""$oid"": ""b32ba0b8568b2a9dc91f41ec""}","{""$oid"": ""2ae21608990ca8725e23830a""}","{""$oid"": ""5da072318735ed9b21099246""}",4745.55,TRY,expense,Diğer,Nakit çekim,"{""$date"": ""2025-11-01T03:31:08.014000Z""}"
"{""$oid"": ""77b0fbf6500eae6e364cc5cd""}","{""$oid"": ""d4d7a39c0a583df2a0b83c63""}","{""$oid"": ""cb4e748ffac512637ad651c2""}",4902.32,TRY,income,Maaş,Prim,"{""$date"": ""2025-12-06T10:24:08.014000Z""}"
"{""$oid"": ""730a4d78937c34590b5f031c""}","{""$oid"": ""a1d6821e5b054b2617b0f72f""}","{""$oid"": ""5ea7568adbfa9131f797bbb6""}",205.48,EUR,expense,Yemek,Yemeksepeti,"{""$date"": ""2025-12-23T10:49:08.014000Z""}"
"{""$oid"": ""77dbfe0adea4b7fa02a44668""}","{""$oid"": ""e017b55d16bb44476beac83b""}","{""$oid"": ""0b0b6a86f49db8d2f56df15e""}",1357.81,USD,expense,Sağlık,Muayene,"{""$date"": ""2025-12-12T03:30:08.014000Z""}"
"{""$oid"": ""610184b90ae624e989d2a03e""}","{""$oid"": ""565d70edfb389535c545b073""}","{""$oid"": ""90533974bd6b6bb2666de51c""}",1562.26,EUR,expense,Faturalar,Aidat,"{""$date"": ""2025-12-01T07:14:08.014000Z""}"
"{""$oid"": ""3f5990ba7a914c95bb83734d""}","{""$oid"": ""3e1e1fa13b5adfb3a41bce2a""}","{""$oid"": ""97621a34d8f39ebcafe33aaa""}",1984.97,TRY,income,Maaş,Maaş ödemesi,"{""$date"": ""2025-12-04T09:14:08.014000Z""}"
"{""$oid"": ""d0610855429db0d5af9d71a6""}","{""$oid"": ""80b092b653690a1b0941f5d9""}","{""$oid"": ""382967cda1b2bc33ce9b8289""}",4817.48,TRY,income,Maaş,Bonus,"{""$date"": ""2025-11-24T21:36:08.014000Z""}"
"{""$oid"": ""fc87ffed0969349f667378b3""}","{""$oid"": ""dbcc16c8aebb46ce119b7e3f""}","{""$oid"": ""3f0f95f38bb4f6e193a8a94c""}",4362.68,USD,expense,Transfer,Para transferi,"{""$date"": ""2025-12-08T04:17:08.014000Z""}"
"{""$oid"": ""d7a5232335c8b9279383b558""}","{""$oid"": ""80b092b653690a1b0941f5d9""}","{""$oid"": ""382967cda1b2bc33ce9b8289""}",110.23,TRY,expense,Faturalar,Elektrik faturası,"{""$date"": ""2025-12-03T08:46:08.014000Z""}"
"{""$oid"": ""3d5484ce4cc6827a059e894f""}","{""$oid"": ""0e0ccab0e0305f872a3aa6ca""}","{""$oid"": ""3315857984a8ac70a448b729""}",259.89,EUR,expense,Sağlık,Muayene,"{""$date"": ""2025-12-01T11:34:08.014000Z""}"
"{""$oid"": ""cd5293092daccbad59de1dff""}","{""$oid"": ""88371a0c2965e1666ad6f6f2""}","{""$oid"": ""007f322429ebc19082e5932b""}",1492.58,TRY,expense,Diğer,Diğer harcama,"{""$date"": ""2025-11-01T17:52:08.014000Z""}"
"{""$oid"": ""8ae83cd02793c80c33b8f964""}","{""$oid"": ""281c0b39b799e091444f6181""}","{""$oid"": ""99d953b426654fdd8681437b""}",4495.45,TRY,income,Maaş,Ek gelir,"{""$date"": ""2025-12-07T22:51:08.014000Z""}"
"{""$oid"": ""990392766a806d08cc3393d3""}","{""$oid"": ""909c8724416f6d9384d2eedd""}","{""$oid"": ""29adb730d2496882268464d1""}",722.41,TRY,expense,Market,Migros,"{""$date"": ""2025-10-26T21:48:08.014000Z""}"
"{""$oid"": ""dc172b69760adc187c3377e5""}","{""$oid"": ""4e615750e88a7055219dc83a""}","{""$oid"": ""b0e9a445b29162480688b015""}",4170.45,USD,expense,Yemek,GetirYemek,"{""$date"": ""2025-11-19T06:34:08.014000Z""}"
"{""$oid"": ""4ec15c2058568bebaa84aaf2""}","{""$oid"": ""dbcc16c8aebb46ce119b7e3f""}","{""$oid"": ""3f0f95f38bb4f6e193a8a94c""}",2687.92,USD,expense,Transfer,Para transferi,"{""$date"": ""2025-12-17T15:11:08.014000Z""}"
"{""$oid"": ""7e074ea435629b83bc44a92d""}","{""$oid"": ""6a63393c79bdced36d747c70""}","{""$oid"": ""c83ded3cb6e42e68f4ce8083""}",1345.21,TRY,expense,Faturalar,İnternet faturası,"{""$date"": ""2025-12-17T06:54:08.014000Z""}"
